,rating,sentiment,review,spearman,sympathy,unsympathy,correlation
35,8,0.073496193,오늘 봤는데 ?굿 굿  스트레스 팍 날렸네 연기들 좋고  ?왜 극장 시간이  왜이리 없어  공평하게 스크린 줍시다 ,0.307747803,435,23,0.726503807
36,9,0.978114486,개꿀쨈ㅋㅋ윤계상연기잘함ㅎㅎ ,0.432166261,383,19,0.078114486
37,10,0.970503986,진짜 강추. 아닥봄하세요. 이번 추석엔 무조건 범죄도시임. 영화같이본 친구랑 우린 또 보러가기로 함.보면서 아 영화 신세계에 이은 한국영화계의 명작이 나왔구나 했다. 진짜 강추 아닥봄! ,0.731925055,409,46,0.029496014
38,10,0.431325078,"윤계상은 없었다.. 장 첸이 있었을 뿐~ 마블리,윤계상 지켜보던 1인으로 흐뭇했던 영화... 그리고 추석 영화 중 쵝오였음~^^ ",0.255047143,368,13,0.568674922
39,8,0.810534298,마동석 짱 윤계상 연기잘함 ,0.261223227,370,19,0.010534298
40,10,0.559207737,마동석이다 무슨말이 더 필요하냐? ,0.394092101,329,30,0.440792263
41,10,0.507861435,이 영화 꼭봐라 . 참고로 필자는 베테랑도 재미없다고했는데.이건 진짜 미쳤다..천만영화다이거 ,0.540898723,330,31,0.492138565
42,10,0.885545015,더 깡패같은 형사와 사이코패쓰 같은 조선족 조폭의 대결. 윤계상 이번엔 배역 소화 제대로 인듯. 거기에 조선족 배역 조연들의 열연이 대단하다. 지루할 틈이 없는 두시간의 여정! 강추합니다!! ,0.340384211,306,12,0.114454985
43,10,0.734654069,마동석광팬임다.덕분에 속후련하게 봤습니다. ,-0.203860114,306,19,0.265345931
45,10,0.973944902,베테랑 이후 군더더기없이 깔끔한 구성의 형사물(?) 영화 하나 나왔네요! 진짜 진짜 재밌게 봤습니다 ,0.660695873,277,10,0.026055098
46,10,0.9955073,통쾌한 액션!! 코믹한 마동석표 개그!! 무서운 장첸~~~ 극중 캐릭터도 다 살아있고 케미도 좋고 꿀잼입니다!!!! 연휴때 스트레스 받을때 함 보세요ㅋ ,0.856348839,266,17,0.0044927
47,9,0.799413323,와 윤계상 연기 쩐다 진짜 쩐다 ,0.535495302,260,14,0.100586677
48,10,0.996192217,주연부터 조연까지 배우들이 연기를 엄청 잘합니다. 그리고 영화자체도 진짜 재밌음 ,0.323026197,225,6,0.003807783
49,10,0.917637944,진짜 명절스트레스 확 풀리네범죄도시 강추입니다!! ,0.654718613,219,7,0.082362056
50,9,0.970210552,"윤계상의 새로운 모습, 마동석의 시원한 싸다구 재밌습니다! ",0.379775583,218,7,0.070210552
51,10,0.824850082,윤계상은 연기로 절대 못 깔 듯 영화가 시원시원 한게 너무 재밌게 봤음 ,0.122591469,199,6,0.175149918
52,8,0.568975151,윤계상은 예전부터 의외로 캐릭터에 잘 빠져서 연기 잘하는데 평가절하되는듯... ,0.511991534,198,14,0.231024849
53,10,0.989634037,시간 가는 줄 모르고 보는 영화 강추입니다윤계상 연기 짱 마동석 파워 짱 ,0.715982708,192,9,0.010365963
55,10,0.55226016,시사회로 보고왓습니다. 마동석때문에 빵빵터지고 생각보다 잔인하진않았어요 커플끼리 친구끼리 강츄!! ,0.249486774,203,27,0.44773984
56,10,0.985223472,방금  보고 왔는데 와!!존잼 스트레스 확풀리네ㅋ꼭 보세요!! ,0.758970926,184,13,0.014776528
57,10,0.950811744,개인적인 생각이지만 장첸 밑에 있던 2인자 연기 굿입니다 ,0.316227766,172,2,0.049188256
58,9,0.669175983,식상한 소재로 이렇게 재밋게 만들었다는게 놀랍다 윤계상 연기 캐리 오짐 ,0.323096699,177,8,0.230824018
59,10,0.095717072,볼만하다특히 윤계상 피도눈물도 없는 연기 칭찬할만 하네 ,0.597263573,163,5,0.904282928
60,9,0.937203407,"윤계상 연기 잘하는지 새삼느낀영화, ",0.974679434,169,11,0.037203407
62,10,0.979671836,진짜 강추입니다 정말재미있습니다. ,0.701152387,160,6,0.020328164
63,9,0.233953893,이 정도면 <공공의적>처럼 시리즈로 만들어도 될법한데? ,-0.063663945,159,8,0.666046107
64,10,0.80388248,걍 봐야함 존잼 대박나라!!! ,0.593214342,159,9,0.19611752
65,10,0.969045281,잔인한 장면이 많지만 액션 및 스토리가 최고입니다 ,0.567733589,153,6,0.030954719
66,10,0.866366863,시사회때 봤는데 감독의 리얼리티 연출이 좋았어요 어벤져스같은 마블같은 영화는 이제 좀 질리는데 이런 사실적인 영화가 더 좋네요 암튼 강추합니다 ,0.241796522,153,10,0.133633137
67,10,0.999778032,포스터랑 예고편이 모든것을 망쳤다고 해야할까 마치 영화 신세계처럼;원래 볼 생각 없었는데 개봉 당일에 남한산성이랑 범죄도시 둘 중에 평 좋은걸로 볼 생각이어서 평 좋은 범죄도시 봤는데 올해 본 영화중에 제일 재밌었다. 진실의방 하드캐리ㅋㅋㅋ ,0.459238168,146,5,0.000221968
68,10,0.524305522,마동석 윤계상 두명 연기력 장난없음 ,0.092450033,141,4,0.475694478
70,10,0.891702473,ㅋㅋㅋㅋ히어로물인줄 알았습니다재밌어요 ,0.569802882,129,7,0.108297527
71,9,0.745745182,다 좋은데 아쉬운건 스크린수...아마 추석때 좌석 없어서 다른걸 선택해야 할지도 모르겠지만 그래도 기다려서 본다면 후회는 안함 ,0.15426777,123,6,0.154254818
72,7,0.924183011,주연이외에도 연기자분들 다들 연기 잘하셔서 조금잔인했지만 볼만했습니다~ ,0.67363307,124,9,0.224183011
73,10,0.947695315,재미 있게 잘봤습니다~~~^^ ,0.228016189,107,4,0.052304685
74,10,0.673940957,화끈하게 그리고 시원하게 달린다 ,0.486497553,107,7,0.326059043
75,8,0.644435942,난 만족한다  잼있었어  ㅎㅎㅎ ,0.229747489,103,8,0.155564058
76,10,0.990436673,킬링타임 제격!! 진짜 재밌다ㅋㅋ ,0.291446696,99,6,0.009563327
77,7,0.987440765,생각없이 볼 수 있는 범죄액션 마요미 전매특허 깡다구 근돼의 힘 경찰을 보여주는 재미있는 영화 ,0.700844659,104,11,0.287440765
78,8,0.775128365,크게 트집 잡을 것 없이 적당히 재밌게 보고 올만한 영화. ,0.440597012,102,11,0.024871635
79,10,0.994036794,조연들 진짜 조선족인가 싶을정도로 연기가 최고에요 베테랑 신세계  합친느낌이랄까  마블리짱♡  윤계상도 연기굿 입니다  꼭보세요 ,0.389249472,90,1,0.005963206
80,10,0.977421284,2017 최고의 한국오락영화다. 스크린수 적은게 너무 아쉽다. ,0.534792914,92,4,0.022578716
81,8,0.924215198,"이건, 와.. 멋부리지 않아서 너무 좋네요.황해에 김윤석이 남았다면 범죄도시에는 윤계상입니다.망설이시는 분들 계시다면은 꼭 보세요 아니보면 후회합니다. 아니보면 진짜 후회합니다.원펀맨 다시 보러 갑니다, 마동석 케릭 제대로 잡았네요. ",0.5,91,4,0.124215198
82,10,0.263381898,다른건 모르겠고 동석이형  주먹한방이면  다  기절 한다는거.. ,0.321675012,84,1,0.736618102
83,10,0.972294569,넘 잔인하고 무섭긴한데 긴장감 정말 쩌네요  웃기기도하고요 ㅎㅎㅎ 쟝첸  나쁜놈이  넘  뭇찌다 ㅠ ,0.707106781,87,5,0.027705431
84,10,0.847195625,재밋어요  좀잔인하지만 ,0.428290252,85,7,0.152804375
85,10,0.463695437,니 네누군지아네  소름이다 ,-0.169841555,78,2,0.536304563
86,10,0.98794663,킹스맨 거르고 시간때우기라고 생각했는데 전혀 아니였음 요근래 최고의 영화였음 사실 윤계상때문에 기대안했는데 야 최고였음 진짜 윤계상 이제는 배우!! ,0.447213595,83,7,0.01205337
88,10,0.727287889,대박 잼나요 마블리짱짱맨!! ,0.524202673,81,7,0.272712111
89,8,0.74810493,걍 잼슴 킬링타임으로 아주좋네요 갠적으로 이수파 대장 표정이 씬스틸러 ,0.453544871,74,2,0.05189507
90,10,0.677377164,와 윤계상이 연기 이렇게 잘할줄은 몰랐네 ,0.547722558,72,1,0.322622836
91,9,0.523771942,영화는 영화일뿐 재미있다윤계상 소름끼친다.시종일관  팍.팍  좀잔인하긴해도 ,0.533695455,72,3,0.376228058
92,10,0.517661095,엄청재미잇었습니다. 윤계상 연기가 장난아니네요 ,0.079644734,73,5,0.482338905
93,10,0.982150018,조금 잔인하긴 한데 올해 본 최고에 영화라고 생각됨. ,0.9258201,74,6,0.017849982
94,10,0.90301609,아오~시원하다 이제부터 새로운장르는 범죄도시다!!연기들도 정말 좋았다. ,0.796819073,70,3,0.09698391
95,10,0.543156147,윤계상 진짜 조선족인줄 알았음 ! ,0.418365883,71,4,0.456843853
96,10,0.934492528,"이거 시사회로 봤는데 정말 재밌어요.  시사회로 안봤으면 안볼러갈 영화였는데, 보고 나서는 추천하는 영화입니다.  꼭 보세요. 최소 본전이상은 합니다. ",0.255005363,71,4,0.065507472
97,10,0.335627973,뻥아니고 ..윤계상만 보였다 ,0.487950036,70,4,0.664372027
98,10,0.525139272,진짜 킹스맨보다 백배낫다 ,0.612372436,73,9,0.474860728
99,10,0.944924593,존잼ㅜㅜ 연기 지림 까메오 출연도 좋았음ㅋㅋ ,0.298142397,68,5,0.055075407
100,9,0.879936218,믿고 보는 마형 + 윤계상 악역 연기 좋았음 ,0.948683298,70,7,0.020063782
101,8,0.988175869,좋다  좋다 매우 좋다 좋다 ,0.036522666,70,7,0.188175869
102,10,0.965615273,방금 조조로 보고 나왔는데 걍 조나 재밌고 윤계상 연기 개쩐다 그리고 마요미 포스 지리고 그냥 졸라 재밌다 ,0.580056632,64,2,0.034384727
103,10,0.032096237,이 영화보고 지루해서 잤다고 하는 평점 알바는 뭐이라니?? ,0.507092553,65,3,0.967903763
104,10,0.986726284,재밌게봤어요 윤계상씨 연기를 너무 잘해서 무서웠 ㄷ ㄷ ㄷ ,0.392792202,63,3,0.013273716
105,10,0.941637874,진짜 너무시간가는줄모르고 재밌게봤어요 ,0.43385868,65,5,0.058362126
106,10,0.432665139,꿀잼 11점 주고싶어여 ㅋ ,0.38144843,62,3,0.567334861
107,8,0.159644127,"7000원 값은 충분히 함. 9000원에 봤어도 아깝 진 않음. 마동석 매력 터지고, 윤계상도 연기 좋음. 중간중간 유머가 있어서 지루할 틈도 없음. 물론, 스토리가 정교하다고 볼 순 없지만 그래도 난 지루할 틈 없이 봤음. ",0,58,4,0.640355873
108,8,0.522380412,마동석이 처음으로 주연맡았다고 해서 기대하고 봤는데 기대이상이였음 ,0.318727629,58,5,0.277619588
109,9,0.98466897,재밋게 잘봤어요~^^ ,0.577350269,59,6,0.08466897
110,10,0.724336326,핵꿀잼 사이다 영화!! ,0.626224291,54,3,0.275663674
111,10,0.993822932,범죄도시 보니까 예전에 신세계 생각 나드라..정말 볼만합니다 ~그리고 마동석 진짜 ㅋㅋ 너무 연기잘함 ,0.357735868,52,2,0.006177068
112,10,0.896393418,꿀잼. 윤계상 연기 잘하네ㅋ ,0.81566182,50,1,0.103606582
114,10,0.980363667,처음부터 끝까지 시간가는줄 모르게 너무 재밌고 윤계상 마동석 너무 멋있어요ㅠㅠ 완전 강추!!! ,0.18413443,51,5,0.019636333
115,9,0.257553488,잼있음 지루하지도 않고 괜찮음 와 개잼있다 이건 아닌데 잼있음 ,0.347353154,52,7,0.642446512
116,10,0.103976935,돈 받으러 와서 그것까지 알아야되니? ,0.355983339,45,1,0.896023065
117,10,0.76498127,부모님과 관람하고옴. 과거사 .가족애 .질질끄는거 하나 없다 그냥 형사가 조선족 잡는영화. 오락영화로 최고였음 ,0.707106781,48,4,0.23501873
119,10,0.972348809,우리나라 영화 중 간만에 최고로 볼만한 영화 나온듯!!!마동석형님 짱! 강추합니다~~~ ,0.654653671,42,3,0.027651191
121,10,0.674679637,"오전에 조조로 보고왔다 수원시청역 CGV 7층 2관, 기대 하나도 안하고 청불이라 볼만하겠네 하고 갔는데 진짜 재밌게 봄,무슨 평점알바네 어쩌네하면서 1점 2점 주는놈들 늬들이 오히려 경쟁사 알바같다. 나는 진짜 재밌게 봤다 ",0,39,2,0.325320363
122,9,0.976765335,마동석이기에 정말 재미있었던거 같습니다. 정말 그런 캐릭터는 마블리이기에 어울리고 마동석이기에 탄생한 캐릭터 같습니다. 윤계상도 연기가 조금만 더 라는 아쉬움이 있지만 좋았습니다. 조선족 논란이 또 나올지도 모르겠지만 정말 재밌습니다. 꼭 보세요~~ ,0.576635682,76,39,0.076765335
123,10,0.964074135,연기 넘  좋아용.  절봤습니다 ,0,37,2,0.035925865
124,10,0.669689596,이수파 독사파 두목 너무 리얼하고 연변말 쓸려고 너무 오버하는거 같지 않아 더욱더 실감나게 연기하네요 그리고 너무자극적인 장면또한 없고 실화 사건으로 재미있어요 ,0.577350269,34,0,0.330310404
125,10,0.76900816,긴장감과 코믹이 반복되면서 완전 꿀잼 윤계상 안어울릴것 같았는데 완전 그자체였음 마동석의 펀치 개 쩜 ㅋㅋ ,0.523968322,35,2,0.23099184
126,10,0.744343281,"어떤 범죄영화, 경찰영화를봐도 경찰이란 직업에 대해 별생각 없었는데, 이영화를 보고 경찰하면 진짜 죽을수도있겠구나라는 생각이들어 무서웠다. ",-0.103015167,32,0,0.255656719
128,8,0.817572415,기대안하고 봣는데 잼네용 마동석님 명불허전이고 윤계상님도 이미지 변신 손색 없으셨어요^^ 꼬봉하는 배우분들도 카리스마있고 잘 봤습니당 ,0.45613305,31,0,0.017572415
129,9,0.938263297,조연들 연기도 너무멋졌어요~!!굳굳^^ ,-0.119522861,31,0,0.038263297
130,10,0.993189931,방금 조조로 보고왔습니다. 완전 대박입니다조폭소제  영화중에서 신세계이후에 제일 몰입해서 봤네요. 마동석 딱 맞는 역활 넘 잘 소화하구요. 윤계상 연기 잘하네요.   꼭 보세요!! ,0.782623792,32,1,0.006810069
131,8,0.743500471,마동석연기 질리지않네요 ,-0.447213595,35,4,0.056499529
132,10,0.879700899,닥추천합니다. 무조건 꼭!  보세요 ,0.528294976,31,1,0.120299101
133,10,0.83655721,윤계상을 위한 영화입니다 ,0.396282202,32,2,0.163442791
134,10,0.647413313,걍 쩐다 ㅋㅋ 유쾌  통쾌 상쾌 ,0.315605771,29,0,0.352586687
135,10,0.947328746,"우와~ 이런 무지막지한 깡패소굴영화 첨이네요 ㅋ중국깡패집단123, 한국깡패, 깡패같은 경찰진짜 리얼하고 빡신  영화입니다 ㅋ ",0.549329381,30,1,0.052671254
136,10,0.746472299,기대하게 하는 재미 제대로 충족 ,-0.866025404,30,1,0.253527701
137,10,0.724437237,재미 스릴 짱 마동석 멋짐 ,0.861777103,31,2,0.275562763
138,8,0.573592067,"윤계상의 새로운 발견, ",-0.122728923,33,4,0.226407933
139,10,0.999877214,"솔직히 최근에 본 영화중 제일 재밌었다 ㅋㅋ  중간중간 깨알웃음포인트가 있어서 너무 좋았고, 특히 윤계상의 연기력에 또 다시 감탄 ㅋㅋㅋㅋ ",0.801783726,29,1,0.000122786
140,10,0.998026013,몰입감 최고! 정말 재미있게 봤어요 ,0.974679434,27,0,0.001973987
141,10,0.364384592,재미와 스릴까지 .. 반전은 없었지만  스트레이트로지루할틈이 없었어요. 마동석 최고! ,0.356236977,27,0,0.635615408
142,10,0.758882999,너희들 아직도 안봤니졸잼이다 꼭바라 ,0.709845619,31,4,0.241117001
143,10,0.647413313,전변호사 계속생각남ㅋㅋ ,0.477087975,26,0,0.352586687
144,10,0.969017506,기대보다 재미있더라 ㅋㅋㅋ ,0.636141306,27,1,0.030982494
145,9,0.97678709,진짜 존잼약간 잔인한면이 있긴한데 완성도있게 잘만든듯!!윤계상씨 나오는줄 몰랐는데 진짜 연기잘하시네요 ,0.111803399,30,4,0.07678709
146,10,0.524305522,마블리 윤계상 짱 머싰어영 ㅎ ,0.342913828,26,1,0.475694478
147,10,0.994999707,꼭보세요!!! 스릴감있고 긴장감 넘치는 영화 중 하나!!! ㅎㅎ간만에 스릴감있고 코믹한 영화 추천이요!!! ,0.305494752,26,1,0.005000293
150,9,0.718073249,꼭 봐라잉  알것니??? ,0.408021469,25,1,0.181926751
151,10,0.6996454,진짜 윤계상 이제  배우네ㅋㅋㅋ ,0.612102609,23,0,0.3003546
152,10,0.17011258,마동석 너무 듬직하고 잼나네요 ㅋ 마블케릭터보는듯한 통쾌함 ㅋㅋ ,-0.8,24,1,0.82988742
153,9,0.921093404,재밌었어요ㅋㅋ 지루할 틈이 없었어요 추천합니다! ,0.582861871,24,1,0.021093404
154,10,0.659703314,오락영화로 강추입니다 ,0.866025404,22,0,0.340296686
155,10,0.99677521,진짜 올 추석뿐만아니라 올해 최고의영화가 아닐까싶네요!!윤계상씨 너무 연기 소름끼치게 잘하고~ 소재가 자칫 어두울수있었는데 중간중간 웃음코드로 재밌게잘봤어요!!!여러분 꼭보세요 후회안합니다~!!ㅎㅎㅎ ,0.654653671,23,1,0.00322479
156,10,0.632845938,마동석이 나오는 영화! 믿는다! ,-0.25819889,22,1,0.367154062
158,10,0.988950253,"진짜 너무재미있었어욤ㅠㅠㅠ 윤계상 연기가 진짜,,대박!! ",0.460045573,22,1,0.011049747
159,9,0.90045476,의외로 윤계상이 연기를 잘해서 놀랐음. 마동수표 액션하고 깨알개그도 있음 ㅋㅋ 잼남 ,0.948683298,23,2,0.00045476
160,10,0.930223882,윤계상연기변신이좋았고 마블리도 감칠맛나게연기해요 ,0.259342911,25,4,0.069776118
162,10,0.995969772,재밌네요. 몰입도도 좋고ㅎㅎ ,0.432738225,21,1,0.004030228
163,10,0.995673537,"덕분에 부모님이랑 영화 재밌게 보고 고향가는 버스 탔어여 ㅎㅎ 마동석, 윤계상 외에도 배우들 개성이 선명했어여 ㅋㅋ 잔인한 장면은 많았지만,, 시나리오도 꿀잼이라 또 보고싶습니다 ",0.56186081,21,1,0.004326463
164,10,0.484946728,오랜만에 시간간줄  몰랐어요마블리는경찰역할도 잘어울림 히트때 이후 오랜만에 경찰역할 ,0.363038168,21,1,0.515053272
165,10,0.945108414,별 기대없이 봤다가.. 올해 최고의 범죄액션영화를 보았다. 웃긴다. 스릴있다. 통쾌하고 유쾌하다. 이게 영화다. ,0.392792202,22,2,0.054891586
167,8,0.921992898,나쁘지 않았다. 마동석은 역시 기대만큼의 연기력과 개성으로 캐릭터를 잘 살렸다. 영화 처음부터 끝까지 긴장감이 유지될 정도로 몰입감도 좋았다. 근데 딱 거기까지 예상 그 이상의 수준은 아니었다. ,-0.173701109,35,15,0.121992898
168,10,0.806323886,"현재 가장 완벽한 한국 오락영화! 이야기, 액션, 개연성, 인물,연기 모두 만점! 지루할틈이 없고, 괜히 예술성 살린답시고 쓸데없이 주인공과 가까운 착하고 죄없는 사람 죽지도 않아서 좋았다. 뭣보다 마동석이 슈퍼, 졸라 개쎄다. 멋있다. 오락영화답게 ",0.298262353,19,0,0.193676114
169,10,0.203112155,이번년도 진짜 딱히 재밌는 영화 못보고 사는듯하여 씁쓸했는데 이 영화보고 속이 뻥 뚫린다. 진짜 나오는 배우들 다 주인공이라고해도 과언 아닌 영화! 무조건 보세요 고민할 필요가없음 ,-0.32991444,19,0,0.796887845
170,10,0.678946018,평점이 괜히 높은게 아니었네요! 잼난요! ,0.65566316,19,0,0.321053982
171,10,0.999354005,완전 재밋어여 베테랑 봤을때 정말 재밋었는데 비슷한 오락영화 너무 시원통쾌하고 웃기기도 했네요 ,0.456673484,19,0,0.000645995
172,10,0.728200197,두번말안한다 꼭봐라 알앗니? ,0.488975262,19,0,0.271799803
174,10,0.901074052,천만영화다. 간만에 시간 가는줄 모르게 봤네요 ,0.866025404,20,1,0.098925948
175,8,0.093465209,나름꿀잼 약간 반전있읗줄알았는데윤계상 존멋탕 ㅠㅠㅠㅠ근디 걍 범죄영화가 다 똑같지 뭐 그런느낌 ,-0.866025404,22,3,0.706534791
176,10,0.151121676,이렇게 주인공이 걱정이 안되는영화는 첨이네요.. ,-0.05910828,23,4,0.848878324
177,10,0.989220619,완전 강추합니다~ 마블리의 연기와 윤계상의 재발견....조연까지 완벽했어요~ 시간이 어떻게 가는지 모를정도....몰입감 최고!!!! ,-0.866025404,18,0,0.010779381
180,10,0.976674318,정말 재밌었어요마블리가 다한 영화!! ,0.592903263,18,0,0.023325682
181,10,0.216399342,꿀잼 오늘보고옴 ㄹㅇㅋㅋ구라아님 ,0.591607978,18,0,0.783600658
183,10,0.970368087,원래 평점 잘 안쓰는데 너무 재밌게 보고와서 남기네요~ ,0.669758807,18,0,0.029631913
184,10,0.910333097,뭔가 기존영화랑비슷한듯 하면서 생각지못한스토리 ㅋㅋ 윤계상연기소름 남한산성보다 훨 남 ㅋㅋㅋㅋ ,0.707106781,18,0,0.089666903
186,10,0.948159695,이거 보세여 꼭 재미 짱짱 ,0.24684209,18,0,0.051840305
189,10,0.446220279,그냥 보는내내 빠져본다 잼있다 ,0.223606798,19,1,0.553779721
190,10,0.34554863,첨부터 끝까지 개그든 스릴이든 끊김이 없다 ,0.574229792,19,1,0.65445137
191,10,0.915360689,완전 사이다 꿀잼임돠 꼭 봐야함돠 ,0.334946923,19,1,0.084639311
192,9,0.994840622,잼있음 ㅋㅋ 현실감 있어서 좋았음. 주조연 배우들 연기력 좋았고 스토리 흐름도 괜찮았음 ,0.474647227,19,1,0.094840622
193,10,0.891858161,꿀잼...시간가는줄 모르고 봄... ,0.948683298,19,1,0.10814184
194,8,0.923585296, 지루하지 않고 재밌네요 동석이형은 역시 윤계상도 연기 잘하고 어울리네요 그리고 조선족 연기 하는 조연들 다잘하네요 솔직히 천만까지는 아닌 영화지만 무료하지 않게 볼수 있네요이거 리뷰 그냥 등록할수도 있나보네 영화를 안봐도 ...평점조작이 있긴하네 ,0.764899531,19,1,0.123585296
195,9,0.993904769,스토리도 재밌고 전체적으로 재밌었음 ,0.726405423,20,2,0.093904769
196,10,0.445103288,다른거 다 필요없고 보세요 ,-0.04715396,20,2,0.554896712
197,9,0.70609051,메가박스서 조조8시20분 봤는데 마동석씨 시원 깔끔  통쾌액션 착착 감기는 대사 (위트있고 ㅋㅋ) 최근에 본 영화중  쨩인듯~ 윤계상씨 연기도 훌륭. 별 반 깎인건 주부인 더한텐 좀 잔인한장면때문~^^ ,0.175219161,20,2,0.19390949
